id,name,filename,description,features,complexity,phase_match,gpt_support,input_example,output_example,feature_1,feature_2,feature_3,feature_4,feature_5,ui_mode,assistant_mode,is_modular,streamlit_tech_used,assistant_calls,launch_context,display_mode,data_sensitivity,ai_augmentation_type,plugin_ready
template_01,Basic Launcher,template_01.py,Minimal runner for any assistant,"['file_upload', 'gpt_toggle']",basic,Any,yes,CSV file,Execution log,Upload,Toggle,Execute,Output,Log,basic,single,yes,"sidebar, button",1,development,raw,public,prompting,yes
template_02,File-Centric Assistant,template_02.py,"Supports assistants with CSV, JSON input","['file_upload', 'structured_inputs']",basic,1–4,yes,CSV/JSON,Parsed DataFrame,Upload,Preview,Parse,Clean,Confirm,basic,single,yes,"file_uploader, dataframe",1,development,table,public,none,yes
template_03,Prompt Experimentation UI,template_03.py,Template 03 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,form,single,yes,"file_uploader, selectbox",1,development,table,public,none,yes
template_04,Form Input Assistant,template_04.py,Template 04 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,form,single,yes,"file_uploader, selectbox",1,development,table,public,prompting,yes
template_05,Multi-Step Assistant Wizard,template_05.py,Template 05 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,dropdown,single,yes,"file_uploader, selectbox",1,development,table,public,none,yes
template_06,Assistant Chaining Demo,template_06.py,Template 06 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,dropdown,chain,yes,"file_uploader, selectbox",2,development,table,public,prompting,yes
template_07,Validation Dashboard,template_07.py,Template 07 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,dropdown,chain,yes,"file_uploader, selectbox",2,development,table,public,none,yes
template_08,File Visualizer,template_08.py,Template 08 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,dropdown,chain,yes,"file_uploader, selectbox",2,development,table,public,prompting,yes
template_09,GPT Response Viewer,template_09.py,Template 09 description,"['modular_ui', 'gpt_toggle']",intermediate,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,dropdown,chain,yes,"file_uploader, selectbox",2,development,table,public,none,yes
template_10,Modular Assistant Hub,template_10.py,Template 10 description,"['modular_ui', 'gpt_toggle']",advanced,Any,yes,Uploaded CSV,Cleaned dataset,Upload,Run,Analyze,Summarize,Export,dropdown,chain,yes,"file_uploader, selectbox",2,development,table,public,prompting,yes
template_11,Split-Pane UI,template_11.py,Side-by-side input/output panels,"['columns', 'dual_panel']",intermediate,"4,6",yes,CSV + controls,Side-by-side preview,Visual Compare,Split Layout,Fast Debug,Dual Execution,Snapshot View,split-pane,single,yes,"columns, sidebar",1,development,side-by-side,public,none,yes
template_12,Session Logger,template_12.py,Logs assistant actions in session,"['log', 'session_state']",intermediate,Any,yes,Prompt text,Log stream,History Tracking,Audit Trail,Live Logs,Resettable State,Minimal UX,log_view,single,yes,"session_state, text_input",1,demo,log,user-private,summarization,yes
template_13,Auto-Trigger on File Drop,template_13.py,Run assistant automatically on file upload,"['auto_trigger', 'file_uploader']",intermediate,"4,6,10",no,Dropped CSV,Immediate output log,No Button UX,Auto Execution,Instant Analysis,Drop-to-Run,Single Action,drop-trigger,single,yes,file_uploader,1,demo,log,public,none,yes
template_14,Tabbed Comparison View,template_14.py,Compare assistants in tabs,"['tabs', 'multi_view']",advanced,Any,yes,Two assistant configs,Tabbed outputs,Side-by-side Logic,Visual Diff,Clean Tabs,Comparative Analysis,Multi-model View,tabs,dual,yes,tabs,2,testing,tabbed,public,summarization,yes
template_15,Data Diff + Merge,template_15.py,Upload and compare two datasets,"['merge', 'diff', 'dual_upload']",advanced,"4,7",no,CSV A and CSV B,Merged preview,File Compare,Inline Diff,Auto Merge,Split Upload,Schema Match,dual-file,pair,yes,"columns, file_uploader",1–2,production,side-by-side,user-private,none,yes
template_16,Prompt Chaining Visualizer,template_16.py,Visually link prompt steps,"['prompt_chain', 'visual_map']",intermediate,"5,6",yes,Prompt 1 → Prompt 2,Chained result,Prompt Link,Two Step GPT,Chain Visual,Custom Prompting,LLM Bridge,form,chained,yes,"text_area, button",2,demo,visualized,public,prompting,yes
template_17,Live LLM Output Monitor,template_17.py,Streams tokens like OpenAI/Claude,"['live_log', 'token_stream']",intermediate,5,yes,Streaming prompt,Token stream,Streaming Display,Token Feedback,Live UX,Time-based Reveal,Prompt Progress,log_stream,single,yes,"time.sleep, write",1,demo,log,public,generation,yes
template_18,Assistant Chain Builder,template_18.py,Dropdown-based assistant linking,"['dropdown_chain', 'multi-select']",intermediate,Any,no,List of assistant modules,Ordered chain,Chain Builder,Modular Linker,Flexible Flow,Assistant Mapping,Sequence Tracker,dropdown,chained,yes,"multiselect, success",multiple,development,text,public,none,yes
template_19,Full DAG Flow Executor,template_19.py,Simulated node-based DAG runner,"['dag_simulation', 'flow_execution']",advanced,"6,9",yes,Node config,Execution sequence,DAG Display,Node Order,Flow Summary,Graph Logic,Execution Trace,flow_map,dag,yes,"code, button",3+,testing,visualized,public,prompting,yes
template_20,Auto-Triage + Suggestion Panel,template_20.py,Selects optimal assistant for issue type,"['triage_panel', 'assistant_suggestion']",intermediate,"7,10",yes,Error tag,Assistant recommendation,Issue Detection,Smart Suggestion,Dropdown Mapping,UX Minimalism,Recommendation Flow,dropdown,single,yes,"selectbox, info",1,exploration,text,user-private,classification,yes
